,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.750279007,5.876844552,49.22288855,8.851277467,0.245419677,45.34830527,6.199255671,9.854230509,11.46322483,2.116378282,23.76372562,974.0914759,5.886678471,104.114565,499.7262822,492.7235075,2665.930784,96.32517018,456.793632,1898.333732,250.7129867,153.5441681
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.63357068,0.788353587,14.57807353,7.191715744,42.40623264,20.82735784,3.463491397,32.48136918,2840.920186,177.9487432,209.7396546,2584.592226,821.7887309,10287.64525,262.7656226,1611.037752,929.3520816,976.3311815,39.62760001
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.480364291,5.446611183,2.119189171,12.99357119,36.83528131,15.94148649,24.47876662,22.43079656,42.20516148,45.06326032,52.91585829,40.52942217,37.29824867,62.70948115,31.58855451,53.44288215,44.88400719,44.5759042,40.56012725,18.85628397,7.16619535
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.58649804,203.6965495,346.5944747,112.6718984,115.6002942,183.2014753,161.555845,354.5062985,320.420852,225.5267605,197.2806485,183.8838173,469.8920663,757.6299261,886.8782037,493.9179186,288.3648404,475.8124775,77.71869778
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.873532058,0.722846077,0.749653545,3.04987809,0.682624878,2.11904545,2.191748064,4.304997855,64.56934187,98.23195753,17.19251618,131.1719462,39.42583206,237.1389916,316.8444163,25.9230431,30.95212204,79.14894356,28.48023169
